parent_destination,name_cn,name_en,latitude,longitude,kind,country_code,tripadvisor_url,tripadvisor_geo_id
Swiss Alps,采尔马特,Zermatt,46.02070,7.74910,town,CH,https://www.tripadvisor.com/Tourism-g188113-Zermatt_Canton_of_Valais.html,188113
Swiss Alps,格林德瓦,Grindelwald,46.62420,8.04140,town,CH,https://www.tripadvisor.com/Tourism-g188069-Grindelwald_Bernese_Oberland.html,188069
Swiss Alps,因特拉肯,Interlaken,46.68630,7.86320,town,CH,https://www.tripadvisor.com/Tourism-g188052-Interlaken_Bernese_Oberland.html,188052
Swiss Alps,劳特布龙嫩,Lauterbrunnen,46.59350,7.90910,village,CH,https://www.tripadvisor.com/Tourism-g188079-Lauterbrunnen_Bernese_Oberland.html,188079
Swiss Alps,圣莫里茨,St. Moritz,46.49080,9.83550,town,CH,https://www.tripadvisor.com/Tourism-g188115-St_Moritz_Canton_of_Graubunden.html,188115
Swiss Alps,达沃斯,Davos,46.80270,9.83500,town,CH,https://www.tripadvisor.com/Tourism-g188066-Davos_Canton_of_Graubunden.html,188066
Yosemite,瓦沃纳,Wawona,37.53630,-119.65570,village,US,https://www.tripadvisor.com/Tourism-g33000-Wawona_Yosemite_National_Park_California.html,33000
Yosemite,马里波萨,Mariposa,37.48490,-119.96630,town,US,https://www.tripadvisor.com/Tourism-g32777-Mariposa_California.html,32777
Yosemite,奥克赫斯特,Oakhurst,37.32790,-119.64930,town,US,https://www.tripadvisor.com/Tourism-g32779-Oakhurst_California.html,32779
Yosemite,格罗夫兰,Groveland,37.83800,-120.23080,town,US,https://www.tripadvisor.com/Tourism-g32776-Groveland_California.html,32776
Yosemite,李韦宁,Lee Vining,37.95760,-119.12180,town,US,https://www.tripadvisor.com/Tourism-g32778-Lee_Vining_California.html,32778
Yakushima,宫之浦,Miyanoura,30.42600,130.57200,town,JP,https://www.tripadvisor.com/Tourism-g298560-Miyanoura_Yakushima_Kagoshima_Prefecture.html,298560
Yakushima,安房,Anbo,30.31500,130.65900,town,JP,https://www.tripadvisor.com/Tourism-g298561-Anbo_Yakushima_Kagoshima_Prefecture.html,298561
Yakushima,永田,Nagata,30.40100,130.42000,village,JP,https://www.tripadvisor.com/Tourism-g298562-Nagata_Yakushima_Kagoshima_Prefecture.html,298562
Norwegian Fjords,弗洛姆,Flam,60.86100,7.11400,village,NO,https://www.tripadvisor.com/Tourism-g190679-Flam_Sognefjord.html,190679
Grand Canyon,大峡谷村,Grand Canyon Village,36.05440,-112.14010,village,US,https://www.tripadvisor.com/Tourism-g143022-Grand_Canyon_Village_Arizona.html,143022
Grand Canyon,图萨扬,Tusayan,35.97330,-112.12660,town,US,https://www.tripadvisor.com/Tourism-g143023-Tusayan_Arizona.html,143023
Grand Canyon,北缘,North Rim,36.21440,-112.05600,park_area,US,https://www.tripadvisor.com/Tourism-g143024-North_Rim_Arizona.html,143024
Grand Canyon,南缘,South Rim,36.05750,-112.13700,park_area,US,https://www.tripadvisor.com/Tourism-g143021-South_Rim_Grand_Canyon_National_Park_Arizona.html,143021
Grand Canyon,佩吉,Page,36.91470,-111.45580,town,US,https://www.tripadvisor.com/Tourism-g143025-Page_Arizona.html,143025
Grand Canyon,威廉姆斯,Williams,35.24950,-112.19100,town,US,https://www.tripadvisor.com/Tourism-g143026-Williams_Arizona.html,143026
Grand Canyon,弗拉格斯塔夫,Flagstaff,35.19830,-111.65130,city,US,https://www.tripadvisor.com/Tourism-g143027-Flagstaff_Arizona.html,143027
South Island,皇后镇,Queenstown,-45.03120,168.66260,town,NZ,https://www.tripadvisor.com/Tourism-g255122-Queenstown_South_Island.html,255122
South Island,瓦纳卡,Wanaka,-44.70320,169.13210,town,NZ,https://www.tripadvisor.com/Tourism-g255123-Wanaka_South_Island.html,255123
South Island,蒂阿瑙,Te Anau,-45.41450,167.71810,town,NZ,https://www.tripadvisor.com/Tourism-g255124-Te_Anau_South_Island.html,255124
South Island,米尔福德峡湾,Milford Sound,-44.67160,167.92560,fjord,NZ,https://www.tripadvisor.com/Tourism-g255125-Milford_Sound_South_Island.html,255125
South Island,库克山,Aoraki Mount Cook,-43.73400,170.09600,national_park_or_village,NZ,https://www.tripadvisor.com/Tourism-g255126-Aoraki_Mount_Cook_South_Island.html,255126
South Island,弗朗兹约瑟夫,Franz Josef,-43.38730,170.18310,town,NZ,https://www.tripadvisor.com/Tourism-g255127-Franz_Josef_South_Island.html,255127
South Island,福克斯冰川,Fox Glacier,-43.46460,170.01750,town,NZ,https://www.tripadvisor.com/Tourism-g255128-Fox_Glacier_South_Island.html,255128
